category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	6/63	323/8790	0.0185758513931889	2.59177355152587	2.4764255982451	0.0275708673329096	0.678897040648081	0.678897040648081	995/1591/8091/10642/1943/5268	6
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	3/63	93/8790	0.032258064516129	4.50076804915515	2.88355072017867	0.0288483161748476	0.678897040648081	0.678897040648081	4322/4314/4312	3
Organismal Systems	Digestive system	hsa04970	Salivary secretion	3/63	93/8790	0.032258064516129	4.50076804915515	2.88355072017867	0.0288483161748476	0.678897040648081	0.678897040648081	1469/810/1472	3
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	2/63	41/8790	0.0487804878048781	6.80603948896632	3.16592209906676	0.0346587731690735	0.764659183042684	0.764659183042684	2556/55879	2
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	3/63	130/8790	0.0230769230769231	3.21978021978022	2.16635799498256	0.0661550860494103	1	1	4322/2792/4312	3
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	3/63	133/8790	0.0225563909774436	3.14715359828142	2.11988715739361	0.0698351090589497	1	1	810/2792/5522	3
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	2/63	66/8790	0.0303030303030303	4.22799422799423	2.23642535729401	0.0809828755345792	1	1	57016/441282	2
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	3/63	149/8790	0.0201342281879195	2.80920421860019	1.89237081854911	0.0909680394315839	1	1	2556/2792/55879	3
Metabolism	Energy metabolism	hsa00910	Nitrogen metabolism	1/63	17/8790	0.0588235294117647	8.20728291316527	2.52714106602107	0.115199933590835	1	1	768	1
Organismal Systems	Sensory system	hsa04742	Taste transduction	2/63	85/8790	0.0235294117647059	3.28291316526611	1.79689204792901	0.123829800970081	1	1	2556/3359	2
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	2/63	89/8790	0.0224719101123595	3.13536650615302	1.72024523830678	0.133444804060801	1	1	4314/4312	2
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	1/63	20/8790	0.05	6.97619047619048	2.27324974588441	0.134127096491205	1	1	1591	1
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	2/63	97/8790	0.0206185567010309	2.87677957781051	1.57914429372521	0.153154655176449	1	1	810/2792	2
Human Diseases	Substance dependence	hsa05034	Alcoholism	3/63	189/8790	0.0158730158730159	2.21466364323507	1.43423388811788	0.153388853603444	1	1	810/8345/2792	3
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	2/63	99/8790	0.0202020202020202	2.81866281866282	1.54611726331017	0.158170111096316	1	1	79054/810	2
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	3/63	198/8790	0.0151515151515152	2.11399711399711	1.34702931006369	0.168971675666154	1	1	8091/3206/4314	3
Human Diseases	Endocrine and metabolic disease	hsa04950	Maturity onset diabetes of the young	1/63	26/8790	0.0384615384615385	5.36630036630037	1.89433427357257	0.170793918134718	1	1	3175	1
Metabolism	Carbohydrate metabolism	hsa00053	Ascorbate and aldarate metabolism	1/63	29/8790	0.0344827586206897	4.8111658456486	1.74657615055559	0.188549931057527	1	1	55586	1
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	2/63	112/8790	0.0178571428571429	2.49149659863946	1.34967428887194	0.191451731785374	1	1	3359/2792	2
