category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	2/142	105/8790	0.019047619047619	1.17907444668008	0.236537182815742	0.508634093826715	1	1	810/10332	2
Metabolism	Metabolism of cofactors and vitamins	hsa00860	Porphyrin metabolism	1/142	44/8790	0.0227272727272727	1.40685019206146	0.346666751648833	0.512460924140256	1	1	212	1
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	1/142	44/8790	0.0227272727272727	1.40685019206146	0.346666751648833	0.512460924140256	1	1	55247	1
Organismal Systems	Excretory system	hsa04962	Vasopressin-regulated water reabsorption	1/142	44/8790	0.0227272727272727	1.40685019206146	0.346666751648833	0.512460924140256	1	1	361	1
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	2/142	106/8790	0.0188679245283019	1.16795110284348	0.222911230458368	0.513705343956415	1	1	4314/2352	2
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	4/142	231/8790	0.0173160173160173	1.07188586061826	0.141871126505619	0.515682618786853	1	1	1129/1128/732/2255	4
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	1/142	45/8790	0.0222222222222222	1.37558685446009	0.323662807905121	0.520376605454238	1	1	338707	1
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	1/142	45/8790	0.0222222222222222	1.37558685446009	0.323662807905121	0.520376605454238	1	1	26154	1
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease	4/142	234/8790	0.0170940170940171	1.05814373420007	0.115513176048427	0.525899764200081	1	1	4312/1440/732/4314	4
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	5/142	298/8790	0.0167785234899329	1.03861423575007	0.0868973729039933	0.5300336355439	1	1	57524/10381/26280/3739/10332	5
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	2/142	110/8790	0.0181818181818182	1.12548015364917	0.169694429360613	0.53364581148687	1	1	995/114	2
