ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0022627	cytosolic small ribosomal subunit	0/279	39/19556	0	0	-0.752033280938765	1	1	1		0
GO:0030008	TRAPP complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030014	CCR4-NOT complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030117	membrane coat	0/279	96/19556	0	0	-1.18161361557913	1	1	1		0
GO:0030118	clathrin coat	0/279	51/19556	0	0	-0.860247459688104	1	1	1		0
GO:0030119	AP-type membrane coat adaptor complex	0/279	42/19556	0	0	-0.78048180491595	1	1	1		0
GO:0030120	vesicle coat	0/279	64/19556	0	0	-0.96399120968695	1	1	1		0
GO:0030121	AP-1 adaptor complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0030122	AP-2 adaptor complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030123	AP-3 adaptor complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0030125	clathrin vesicle coat	0/279	36/19556	0	0	-0.722474680826183	1	1	1		0
GO:0030126	COPI vesicle coat	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0030127	COPII vesicle coat	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030128	clathrin coat of endocytic vesicle	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030130	clathrin coat of trans-Golgi network vesicle	0/279	19/19556	0	0	-0.524637283148247	1	1	1		0
GO:0030131	clathrin adaptor complex	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0030132	clathrin coat of coated pit	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0030137	COPI-coated vesicle	0/279	25/19556	0	0	-0.6018926672479	1	1	1		0
GO:0030140	trans-Golgi network transport vesicle	0/279	40/19556	0	0	-0.761633221260175	1	1	1		0
GO:0030286	dynein complex	0/279	54/19556	0	0	-0.885255414985841	1	1	1		0
GO:0030496	midbody	0/279	186/19556	0	0	-1.64855313602235	1	1	1		0
GO:0030532	small nuclear ribonucleoprotein complex	0/279	96/19556	0	0	-1.18161361557913	1	1	1		0
GO:0030660	Golgi-associated vesicle membrane	0/279	58/19556	0	0	-0.917551082352481	1	1	1		0
GO:0030663	COPI-coated vesicle membrane	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0030670	phagocytic vesicle membrane	0/279	83/19556	0	0	-1.09833267111305	1	1	1		0
GO:0030673	axolemma	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030677	ribonuclease P complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030681	multimeric ribonuclease P complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0030684	preribosome	0/279	104/19556	0	0	-1.23011532003504	1	1	1		0
GO:0030686	90S preribosome	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0030687	preribosome, large subunit precursor	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030688	preribosome, small subunit precursor	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030864	cortical actin cytoskeleton	0/279	77/19556	0	0	-1.05772634583001	1	1	1		0
GO:0030867	rough endoplasmic reticulum membrane	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
