from	to	score
FGF4	AGT	0.000632
FGF4	BDNF	0.000647
FGF4	LEP	0.000655
FGF4	IL1B	0.00066
FGF4	AKT1	0.000664
FGF4	CTNNB1	0.000669
FGF4	FGF8	0.000681
FGF4	IL6	0.000701
FGF4	KRAS	0.000707
FGF4	COL18A1	0.000722
FGF4	EPHA2	0.000727
FGF4	PECAM1	0.000734
FGF4	CXCL8	0.00075
FGF4	NTRK2	0.000754
FGF4	ERBB4	0.000755
FGF4	NGFR	0.000762
FGF4	TNF	0.000768
FGF4	FGF1	0.000777
FGF4	ALB	0.00078
FGF4	GREM1	0.000781
FGF4	SDC1	0.000786
FGF4	IGF1	0.000788
FGF4	FN1	0.000799
FGF4	CSF1R	8e-04
FGF4	FLT3	0.000803
FGF4	INSR	0.00081
FGF4	BMP2	0.000817
FGF4	INS	0.000821
FGF4	NRP1	0.000823
FGF4	TGFB1	0.000824
FGF4	FGFRL1	0.000825
FGF4	ERBB2	0.000828
FGF4	ERBB3	0.000848
FGF4	TEK	0.00085
FGF4	IGF1R	0.000853
FGF4	BMP4	0.000853
FGF4	KIT	0.000858
FGF4	MET	0.000864
FGF4	FLT1	0.000874
FGF4	PDGFRA	0.000877
FGF4	HGF	0.000883
FGF4	NTRK1	0.000887
FGF4	PDGFRB	0.000893
FGF4	FLT4	0.00091
FGF4	EGFR	0.000922
FGF4	CD44	0.000923
FGF4	SHH	0.000928
FGF4	KDR	0.000932
FGF4	FGFBP1	0.000938
FGF4	KLB	0.000951
FGF4	FGFR3	0.000969
FGF4	EGF	0.000989
FGF4	FGFR4	0.000997
FGF4	FGFR1	0.000999
FGF4	FGFR2	0.000999
NGFR	FGF13	4e-04
NGFR	GRIA4	0.000412
NGFR	ACHE	0.000413
NGFR	KNG1	0.000418
NGFR	PXDNL	0.000427
NGFR	PXDN	0.000429
NGFR	FN1	0.000431
NGFR	FGFR3	0.000434
NGFR	IL6	0.000434
NGFR	ALB	0.000438
NGFR	KALRN	0.000445
NGFR	GAPDH	0.000447
NGFR	VCAM1	0.000451
NGFR	SOX9	0.000462
NGFR	FGFR2	0.000465
NGFR	SLC4A1	0.000468
NGFR	PDGFRA	0.000477
NGFR	KIT	0.000481
NGFR	ITGB3	0.000487
NGFR	OTX2	0.000491
NGFR	S100B	0.000497
NGFR	RPS27A	0.000499
NGFR	UBA52	0.000499
NGFR	PECAM1	0.000508
NGFR	ERBB4	0.000508
NGFR	LPAR1	0.000513
NGFR	PDGFRB	0.00052
NGFR	TNF	0.000531
NGFR	FLT1	0.000534
NGFR	ITGB1	0.00055
NGFR	ERBB2	0.000573
NGFR	AKT1	0.000601
NGFR	CD44	0.000604
NGFR	ALCAM	0.000614
NGFR	IL1B	0.000615
NGFR	CD34	0.000646
NGFR	PLCB2	0.00065
NGFR	PLCB1	0.00065
NGFR	EGFR	0.000659
NGFR	PLCB3	0.00066
NGFR	ANGPT4	0.000668
NGFR	FGF21	0.000673
NGFR	ENG	0.000693
NGFR	IRS1	0.000702
NGFR	TGFA	0.000707
NGFR	ANGPT2	0.000711
NGFR	PGF	0.000722
NGFR	VEGFD	0.000728
NGFR	VEGFB	0.000731
NGFR	VEGFC	0.000744
NGFR	ANGPT1	0.000745
NGFR	FGF16	0.000758
NGFR	FGF22	0.000758
NGFR	FGF20	0.000762
NGFR	FGF3	0.000762
NGFR	FGF18	0.000762
NGFR	FGF17	0.000762
NGFR	FGF5	0.000762
NGFR	FGF8	0.000764
NGFR	FGF9	0.000766
NGFR	HGF	0.000768
NGFR	FGF7	0.000772
NGFR	FGF10	0.000772
NGFR	INS	0.000786
NGFR	IGF1	0.00079
NGFR	FGF1	0.000843
NGFR	FGF2	0.000844
