id	is_DEG	is_upregulated	is_downregulated	is_key_gene	logFC
CST4	TRUE	TRUE	FALSE	FALSE	0.515157291056797
MLNR	FALSE	FALSE	FALSE	FALSE	0.0868372203955747
GABPB1	FALSE	FALSE	FALSE	FALSE	0.0391481934049231
OIP5	FALSE	FALSE	FALSE	FALSE	0.341404943063226
LGALS13	FALSE	FALSE	FALSE	FALSE	0.0179935466481993
FBL	FALSE	FALSE	FALSE	FALSE	0.079552265220892
CRX	FALSE	FALSE	FALSE	FALSE	0.0376679882642303
PIK3R2	FALSE	FALSE	FALSE	FALSE	0.166749238729592
TWISTNB	FALSE	FALSE	FALSE	FALSE	NA
NPVF	FALSE	FALSE	FALSE	FALSE	-0.0024483611819992
HOXA2	FALSE	FALSE	FALSE	FALSE	-0.159214473964977
LFNG	FALSE	FALSE	FALSE	FALSE	-0.00297414374904736
C5	FALSE	FALSE	FALSE	FALSE	-0.168701778573862
RASD1	FALSE	FALSE	FALSE	FALSE	-0.0448949192496286
KAT2A	FALSE	FALSE	FALSE	FALSE	0.145343576651764
RCVRN	FALSE	FALSE	FALSE	FALSE	-0.177609635883891
FOXN1	FALSE	FALSE	FALSE	FALSE	0.122740814495722
IBSP	TRUE	TRUE	FALSE	FALSE	0.559097753217643
GNRHR	FALSE	FALSE	FALSE	FALSE	0.119535260097036
SULT1E1	FALSE	FALSE	FALSE	FALSE	-0.11988254191186
GAR1	FALSE	FALSE	FALSE	FALSE	0.0492665442132303
PRR4	FALSE	FALSE	FALSE	FALSE	NA
RAD51AP1	FALSE	FALSE	FALSE	FALSE	0.273003085965763
GNB3	FALSE	FALSE	FALSE	FALSE	0.22909872424859
FBXO5	FALSE	FALSE	FALSE	FALSE	0.117605683197663
MAPK14	FALSE	FALSE	FALSE	FALSE	-0.000382152365975941
MDFI	FALSE	FALSE	FALSE	FALSE	0.138326331359365
ISL1	FALSE	FALSE	FALSE	FALSE	0.269528850645986
MLH1	FALSE	FALSE	FALSE	FALSE	-0.0218767786506957
RBP1	FALSE	FALSE	FALSE	FALSE	0.015086806847366
GNB4	FALSE	FALSE	FALSE	FALSE	-0.0493174829856295
TLX2	FALSE	FALSE	FALSE	FALSE	0.374012936998994
DLX2	FALSE	FALSE	FALSE	FALSE	0.385139988527873
ORC2	FALSE	FALSE	FALSE	FALSE	0.0613358079707256
KISS1R	TRUE	TRUE	FALSE	FALSE	0.612556013441422
BCL9	FALSE	FALSE	FALSE	FALSE	0.0819121377219032
OPRD1	FALSE	FALSE	FALSE	FALSE	0.00310367977939396
TTR	FALSE	FALSE	FALSE	FALSE	-0.160899815320827
MSX2	FALSE	FALSE	FALSE	FALSE	0.100457085412009
TBX2	FALSE	FALSE	FALSE	FALSE	-0.195238647893238
NCAPH	FALSE	FALSE	FALSE	FALSE	0.3711136331202
MND1	FALSE	FALSE	FALSE	FALSE	0.211145014454507
KALRN	FALSE	FALSE	FALSE	FALSE	-0.0740061733137392
GHSR	FALSE	FALSE	FALSE	FALSE	0.0161661186653657
PDE1B	FALSE	FALSE	FALSE	FALSE	-0.22446527041816
HOXC13	TRUE	TRUE	FALSE	FALSE	0.85143332442867
HOXC12	FALSE	FALSE	FALSE	FALSE	0.319256462792993
HOXC6	FALSE	FALSE	FALSE	FALSE	0.306924142516282
H4C6	FALSE	FALSE	FALSE	FALSE	0.0189920468149696
H1-1	FALSE	FALSE	FALSE	FALSE	0.0644008014650344
BMP4	FALSE	FALSE	FALSE	FALSE	-0.106985058077249
SOX9	FALSE	FALSE	FALSE	FALSE	0.079017677804905
CDC25B	FALSE	FALSE	FALSE	FALSE	0.0401377715279256
GNRH2	FALSE	FALSE	FALSE	FALSE	0.0998161093539425
FNTB	FALSE	FALSE	FALSE	FALSE	0.0356078427576083
SLURP1	FALSE	FALSE	FALSE	FALSE	0.229433593509479
STATH	FALSE	FALSE	FALSE	FALSE	0.0851673170910283
DLGAP5	FALSE	FALSE	FALSE	FALSE	0.449908034129061
F2RL3	FALSE	FALSE	FALSE	FALSE	-0.208556458083086
GNG13	FALSE	FALSE	FALSE	FALSE	0.18965895292784
GNG11	FALSE	FALSE	FALSE	FALSE	-0.23420454449808
GNGT1	TRUE	TRUE	FALSE	FALSE	0.745253407241018
MCHR1	FALSE	FALSE	FALSE	FALSE	0.216319277829741
GALR3	FALSE	FALSE	FALSE	FALSE	0.159991105490309
OPN1SW	FALSE	FALSE	FALSE	FALSE	0.0438680171153809
