category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	1/79	148/8790	0.00675675675675676	0.751796099897366	-0.289989049939301	0.740114024816911	1	1	114	1
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	1/79	148/8790	0.00675675675675676	0.751796099897366	-0.289989049939301	0.740114024816911	1	1	2255	1
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	2/79	298/8790	0.00671140939597315	0.746750488488659	-0.423546431105516	0.754052069562914	1	1	10332/3739	2
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	1/79	156/8790	0.00641025641025641	0.713242453748783	-0.344128311481217	0.7585299286116	1	1	51208	1
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	1/79	157/8790	0.00636942675159236	0.708699508183504	-0.350719121502785	0.760739349000723	1	1	177	1
Organismal Systems	Sensory system	hsa04740	Olfactory transduction	3/79	440/8790	0.00681818181818182	0.758630609896433	-0.494668851685854	0.763949018908132	1	1	128372/391114/343171	3
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	1/79	168/8790	0.00595238095238095	0.662296564195298	-0.420857801145542	0.783763869444284	1	1	1440	1
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	1/79	170/8790	0.00588235294117647	0.654504839910648	-0.433173686005003	0.787708516896809	1	1	51208	1
Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	2/79	323/8790	0.00619195046439629	0.68895246306384	-0.542391055438733	0.79287245004252	1	1	131405/7143	2
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	1/79	176/8790	0.00568181818181818	0.632192174913694	-0.469379519224398	0.799121103388511	1	1	10332	1
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	1/79	183/8790	0.00546448087431694	0.608009960572733	-0.510298093765535	0.811671904080851	1	1	22854	1
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	1/79	192/8790	0.00520833333333333	0.579509493670886	-0.560992893648647	0.826676769325418	1	1	177	1
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	1/79	198/8790	0.00505050505050505	0.561948599923283	-0.593690096909696	0.836017761300545	1	1	6258	1
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	1/79	199/8790	0.0050251256281407	0.559124737612111	-0.599059115377275	0.837525512331417	1	1	51208	1
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	1/79	205/8790	0.0048780487804878	0.542760111145415	-0.630812313651285	0.846288800722558	1	1	177	1
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	2/79	368/8790	0.00543478260869565	0.604705558613098	-0.737711016809244	0.849452546809851	1	1	10718/2890	2
Organismal Systems	Development and regeneration	hsa04382	Cornified envelope formation	1/79	216/8790	0.00462962962962963	0.515119549929677	-0.687098627646087	0.861159708580151	1	1	51208	1
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	1/79	221/8790	0.00452488687782805	0.503465261469729	-0.711918001179266	0.867440662600069	1	1	114	1
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	1/79	225/8790	0.00444444444444444	0.494514767932489	-0.731451135528546	0.872262714209667	1	1	114	1
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	1/79	225/8790	0.00444444444444444	0.494514767932489	-0.731451135528546	0.872262714209667	1	1	1544	1
